trip_id,route_id,route_long_name,route_color,stop_id,service_id,duration_minutes
3112,17,Riverline Light Rail,00008B,21,8,67.0
3113,17,Riverline Light Rail,00008B,21,8,67.0
3114,17,Riverline Light Rail,00008B,21,8,67.0
3115,17,Riverline Light Rail,00008B,21,8,67.0
3116,17,Riverline Light Rail,00008B,21,8,67.0
3117,17,Riverline Light Rail,00008B,21,8,67.0
3118,17,Riverline Light Rail,00008B,21,8,67.0
3119,17,Riverline Light Rail,00008B,21,8,67.0
3120,17,Riverline Light Rail,00008B,21,8,67.0
3121,17,Riverline Light Rail,00008B,21,8,67.0
3122,17,Riverline Light Rail,00008B,21,8,67.0
3123,17,Riverline Light Rail,00008B,21,8,67.0
3124,17,Riverline Light Rail,00008B,21,8,67.0
3125,17,Riverline Light Rail,00008B,21,8,67.0
3126,17,Riverline Light Rail,00008B,21,8,67.0
3127,17,Riverline Light Rail,00008B,21,8,67.0
3128,17,Riverline Light Rail,00008B,21,8,67.0
3129,17,Riverline Light Rail,00008B,21,8,67.0
3130,17,Riverline Light Rail,00008B,21,8,67.0
3131,17,Riverline Light Rail,00008B,21,8,67.0
3132,17,Riverline Light Rail,00008B,21,8,67.0
3133,17,Riverline Light Rail,00008B,21,8,67.0
3134,17,Riverline Light Rail,00008B,21,8,67.0
3135,17,Riverline Light Rail,00008B,21,8,67.0
3136,17,Riverline Light Rail,00008B,21,8,67.0
3137,17,Riverline Light Rail,00008B,21,8,67.0
3138,17,Riverline Light Rail,00008B,21,8,67.0
3139,17,Riverline Light Rail,00008B,21,8,67.0
3140,17,Riverline Light Rail,00008B,21,8,67.0
3141,17,Riverline Light Rail,00008B,21,8,67.0
3142,17,Riverline Light Rail,00008B,21,8,67.0
3143,17,Riverline Light Rail,00008B,21,8,67.0
3144,17,Riverline Light Rail,00008B,21,8,67.0
3145,17,Riverline Light Rail,00008B,21,8,67.0
3146,17,Riverline Light Rail,00008B,21,8,67.0
3147,17,Riverline Light Rail,00008B,21,8,67.0
3148,17,Riverline Light Rail,00008B,21,8,67.0
3149,17,Riverline Light Rail,00008B,21,8,67.0
3150,17,Riverline Light Rail,00008B,21,8,67.0
3151,17,Riverline Light Rail,00008B,21,8,67.0
3152,17,Riverline Light Rail,00008B,21,8,67.0
3153,17,Riverline Light Rail,00008B,21,8,67.0
3154,17,Riverline Light Rail,00008B,21,8,67.0
3155,17,Riverline Light Rail,00008B,21,8,67.0
3156,17,Riverline Light Rail,00008B,21,8,67.0
3157,17,Riverline Light Rail,00008B,21,8,67.0
3158,17,Riverline Light Rail,00008B,21,8,67.0
3159,17,Riverline Light Rail,00008B,21,8,67.0
3160,17,Riverline Light Rail,00008B,21,8,67.0
3161,17,Riverline Light Rail,00008B,21,8,67.0
3162,17,Riverline Light Rail,00008B,21,8,67.0
3163,17,Riverline Light Rail,00008B,21,8,67.0
3164,17,Riverline Light Rail,00008B,21,8,67.0
3165,17,Riverline Light Rail,00008B,21,8,67.0
3166,17,Riverline Light Rail,00008B,21,8,67.0
3167,17,Riverline Light Rail,00008B,21,8,67.0
3168,17,Riverline Light Rail,00008B,21,8,67.0
3169,17,Riverline Light Rail,00008B,21,8,67.0
3170,17,Riverline Light Rail,00008B,21,8,67.0
3171,17,Riverline Light Rail,00008B,21,8,67.0
3172,17,Riverline Light Rail,00008B,21,8,67.0
3173,17,Riverline Light Rail,00008B,21,8,67.0
3174,17,Riverline Light Rail,00008B,21,8,67.0
3175,17,Riverline Light Rail,00008B,21,8,67.0
3176,17,Riverline Light Rail,00008B,21,8,67.0
3177,17,Riverline Light Rail,00008B,21,8,67.0
3178,17,Riverline Light Rail,00008B,21,8,67.0
3179,17,Riverline Light Rail,00008B,21,8,67.0
3180,17,Riverline Light Rail,00008B,21,8,67.0
3181,17,Riverline Light Rail,00008B,21,8,67.0
3182,17,Riverline Light Rail,00008B,21,8,67.0
3183,17,Riverline Light Rail,00008B,21,8,67.0
3184,17,Riverline Light Rail,00008B,21,8,67.0
3185,17,Riverline Light Rail,00008B,21,9,67.0
3186,17,Riverline Light Rail,00008B,21,9,67.0
3187,17,Riverline Light Rail,00008B,21,9,67.0
3188,17,Riverline Light Rail,00008B,21,9,67.0
3189,17,Riverline Light Rail,00008B,21,9,67.0
3190,17,Riverline Light Rail,00008B,21,9,67.0
3191,17,Riverline Light Rail,00008B,21,9,67.0
3192,17,Riverline Light Rail,00008B,21,9,67.0
3193,17,Riverline Light Rail,00008B,21,9,67.0
3194,17,Riverline Light Rail,00008B,21,9,67.0
3195,17,Riverline Light Rail,00008B,21,9,67.0
3196,17,Riverline Light Rail,00008B,21,9,67.0
3197,17,Riverline Light Rail,00008B,21,9,67.0
3198,17,Riverline Light Rail,00008B,21,9,67.0
3199,17,Riverline Light Rail,00008B,21,9,67.0
3200,17,Riverline Light Rail,00008B,21,9,67.0
3201,17,Riverline Light Rail,00008B,21,9,67.0
3202,17,Riverline Light Rail,00008B,21,9,67.0
3203,17,Riverline Light Rail,00008B,21,9,67.0
3204,17,Riverline Light Rail,00008B,21,9,67.0
3205,17,Riverline Light Rail,00008B,21,9,67.0
3206,17,Riverline Light Rail,00008B,21,9,67.0
3207,17,Riverline Light Rail,00008B,21,9,67.0
3208,17,Riverline Light Rail,00008B,21,9,67.0
3209,17,Riverline Light Rail,00008B,21,9,67.0
