trip_id,route_id,route_long_name,route_color,stop_id,service_id,duration_minutes
2793,14,Pascack Valley Line,94219A,16,1,78.0
2794,14,Pascack Valley Line,94219A,16,1,75.0
2795,14,Pascack Valley Line,94219A,18,1,73.0
2796,14,Pascack Valley Line,94219A,18,1,73.0
2797,14,Pascack Valley Line,94219A,18,1,77.0
2798,14,Pascack Valley Line,94219A,18,1,77.0
2799,14,Pascack Valley Line,94219A,18,1,78.0
2800,14,Pascack Valley Line,94219A,18,1,77.0
2801,14,Pascack Valley Line,94219A,18,1,75.0
2802,14,Pascack Valley Line,94219A,18,1,78.0
2803,14,Pascack Valley Line,94219A,5,1,52.0
2804,14,Pascack Valley Line,94219A,5,1,52.0
2805,14,Pascack Valley Line,94219A,10,2,65.0
2806,14,Pascack Valley Line,94219A,14,2,73.0
2807,14,Pascack Valley Line,94219A,14,2,67.0
2808,14,Pascack Valley Line,94219A,14,2,67.0
2809,14,Pascack Valley Line,94219A,17,2,76.0
2810,14,Pascack Valley Line,94219A,17,2,70.0
2811,14,Pascack Valley Line,94219A,17,2,70.0
2812,14,Pascack Valley Line,94219A,17,2,73.0
2813,14,Pascack Valley Line,94219A,18,26,74.0
2814,14,Pascack Valley Line,94219A,18,2,71.0
2815,14,Pascack Valley Line,94219A,18,2,75.0
2816,14,Pascack Valley Line,94219A,18,2,77.0
2817,14,Pascack Valley Line,94219A,18,2,77.0
2818,14,Pascack Valley Line,94219A,18,2,76.0
2819,14,Pascack Valley Line,94219A,18,2,76.0
2820,14,Pascack Valley Line,94219A,18,2,78.0
2821,14,Pascack Valley Line,94219A,5,2,55.0
2822,14,Pascack Valley Line,94219A,6,2,31.0
2823,14,Pascack Valley Line,94219A,7,2,37.0
2824,14,Pascack Valley Line,94219A,9,2,61.0
2825,14,Pascack Valley Line,94219A,18,27,70.0
2826,14,Pascack Valley Line,94219A,18,1,71.0
2827,14,Pascack Valley Line,94219A,18,1,71.0
2828,14,Pascack Valley Line,94219A,18,1,72.0
2829,14,Pascack Valley Line,94219A,18,1,71.0
2830,14,Pascack Valley Line,94219A,18,1,72.0
2831,14,Pascack Valley Line,94219A,18,1,72.0
2832,14,Pascack Valley Line,94219A,18,1,72.0
2833,14,Pascack Valley Line,94219A,18,1,72.0
2834,14,Pascack Valley Line,94219A,18,1,71.0
2835,14,Pascack Valley Line,94219A,5,1,56.0
2836,14,Pascack Valley Line,94219A,5,1,59.0
2837,14,Pascack Valley Line,94219A,13,2,67.0
2838,14,Pascack Valley Line,94219A,16,2,73.0
2839,14,Pascack Valley Line,94219A,17,2,74.0
2840,14,Pascack Valley Line,94219A,17,2,80.0
2841,14,Pascack Valley Line,94219A,18,2,79.0
2842,14,Pascack Valley Line,94219A,18,2,75.0
2843,14,Pascack Valley Line,94219A,18,2,70.0
2844,14,Pascack Valley Line,94219A,18,2,73.0
2845,14,Pascack Valley Line,94219A,18,2,72.0
2846,14,Pascack Valley Line,94219A,18,2,79.0
2847,14,Pascack Valley Line,94219A,18,2,76.0
2848,14,Pascack Valley Line,94219A,18,2,77.0
2849,14,Pascack Valley Line,94219A,18,2,75.0
2850,14,Pascack Valley Line,94219A,18,2,71.0
2851,14,Pascack Valley Line,94219A,18,2,70.0
2852,14,Pascack Valley Line,94219A,18,2,71.0
2853,14,Pascack Valley Line,94219A,18,2,70.0
2854,14,Pascack Valley Line,94219A,4,2,27.0
2855,14,Pascack Valley Line,94219A,5,2,53.0
2856,14,Pascack Valley Line,94219A,7,2,35.0
2857,14,Pascack Valley Line,94219A,18,11,70.0
2858,14,Pascack Valley Line,94219A,18,5,75.0
