trip_id,route_id,route_long_name,route_color,stop_id,service_id,duration_minutes
2026,12,North Jersey Coast Line,03A3DF,21,16,132.0
2027,12,North Jersey Coast Line,03A3DF,22,4,131.0
2028,12,North Jersey Coast Line,03A3DF,10,1,39.0
2029,12,North Jersey Coast Line,03A3DF,10,1,39.0
2030,12,North Jersey Coast Line,03A3DF,10,1,39.0
2031,12,North Jersey Coast Line,03A3DF,10,1,39.0
2032,12,North Jersey Coast Line,03A3DF,10,1,39.0
2033,12,North Jersey Coast Line,03A3DF,10,1,39.0
2034,12,North Jersey Coast Line,03A3DF,10,1,39.0
2035,12,North Jersey Coast Line,03A3DF,10,1,39.0
2036,12,North Jersey Coast Line,03A3DF,10,1,39.0
2037,12,North Jersey Coast Line,03A3DF,10,1,39.0
2038,12,North Jersey Coast Line,03A3DF,10,1,39.0
2039,12,North Jersey Coast Line,03A3DF,10,2,38.0
2040,12,North Jersey Coast Line,03A3DF,10,2,38.0
2041,12,North Jersey Coast Line,03A3DF,10,2,37.0
2042,12,North Jersey Coast Line,03A3DF,10,2,40.0
2043,12,North Jersey Coast Line,03A3DF,10,2,39.0
2044,12,North Jersey Coast Line,03A3DF,10,2,39.0
2045,12,North Jersey Coast Line,03A3DF,10,2,39.0
2046,12,North Jersey Coast Line,03A3DF,10,2,39.0
2047,12,North Jersey Coast Line,03A3DF,10,2,39.0
2048,12,North Jersey Coast Line,03A3DF,10,2,40.0
2049,12,North Jersey Coast Line,03A3DF,10,2,38.0
2050,12,North Jersey Coast Line,03A3DF,10,2,38.0
2051,12,North Jersey Coast Line,03A3DF,10,2,38.0
2052,12,North Jersey Coast Line,03A3DF,10,2,39.0
2053,12,North Jersey Coast Line,03A3DF,18,5,123.0
2054,12,North Jersey Coast Line,03A3DF,10,2,41.0
2055,12,North Jersey Coast Line,03A3DF,10,2,41.0
2056,12,North Jersey Coast Line,03A3DF,23,4,129.0
2057,12,North Jersey Coast Line,03A3DF,21,13,128.0
2058,12,North Jersey Coast Line,03A3DF,10,3,41.0
2059,12,North Jersey Coast Line,03A3DF,10,3,40.0
2060,12,North Jersey Coast Line,03A3DF,10,1,44.0
2061,12,North Jersey Coast Line,03A3DF,10,1,44.0
2062,12,North Jersey Coast Line,03A3DF,10,1,44.0
2063,12,North Jersey Coast Line,03A3DF,10,1,44.0
2064,12,North Jersey Coast Line,03A3DF,10,1,44.0
2065,12,North Jersey Coast Line,03A3DF,10,1,44.0
2066,12,North Jersey Coast Line,03A3DF,10,1,44.0
2067,12,North Jersey Coast Line,03A3DF,10,1,41.0
2068,12,North Jersey Coast Line,03A3DF,10,1,41.0
2069,12,North Jersey Coast Line,03A3DF,10,2,39.0
2070,12,North Jersey Coast Line,03A3DF,10,2,43.0
2071,12,North Jersey Coast Line,03A3DF,10,2,41.0
2072,12,North Jersey Coast Line,03A3DF,10,2,41.0
2073,12,North Jersey Coast Line,03A3DF,10,2,41.0
2074,12,North Jersey Coast Line,03A3DF,10,2,45.0
2075,12,North Jersey Coast Line,03A3DF,10,2,39.0
2076,12,North Jersey Coast Line,03A3DF,10,2,39.0
2077,12,North Jersey Coast Line,03A3DF,10,2,39.0
2078,12,North Jersey Coast Line,03A3DF,10,2,41.0
2079,12,North Jersey Coast Line,03A3DF,10,2,41.0
2080,12,North Jersey Coast Line,03A3DF,10,2,41.0
2081,12,North Jersey Coast Line,03A3DF,22,5,123.0
2082,12,North Jersey Coast Line,03A3DF,10,5,40.0
2083,12,North Jersey Coast Line,03A3DF,10,11,41.0
2084,12,North Jersey Coast Line,03A3DF,10,5,41.0
