trip_id,route_id,route_long_name,route_color,stop_id,service_id,duration_minutes
3015,16,Raritan Valley Line,F2A537,13,4,58.0
3016,16,Raritan Valley Line,F2A537,14,1,61.0
3017,16,Raritan Valley Line,F2A537,14,1,61.0
3018,16,Raritan Valley Line,F2A537,14,1,61.0
3019,16,Raritan Valley Line,F2A537,14,1,61.0
3020,16,Raritan Valley Line,F2A537,14,1,61.0
3021,16,Raritan Valley Line,F2A537,14,1,61.0
3022,16,Raritan Valley Line,F2A537,14,1,61.0
3023,16,Raritan Valley Line,F2A537,14,1,61.0
3024,16,Raritan Valley Line,F2A537,14,1,61.0
3025,16,Raritan Valley Line,F2A537,14,1,61.0
3026,16,Raritan Valley Line,F2A537,14,1,61.0
3027,16,Raritan Valley Line,F2A537,14,1,61.0
3028,16,Raritan Valley Line,F2A537,14,1,61.0
3029,16,Raritan Valley Line,F2A537,14,1,61.0
3030,16,Raritan Valley Line,F2A537,14,1,61.0
3031,16,Raritan Valley Line,F2A537,14,1,61.0
3032,16,Raritan Valley Line,F2A537,14,1,61.0
3033,16,Raritan Valley Line,F2A537,14,1,62.0
3034,16,Raritan Valley Line,F2A537,14,7,62.0
3035,16,Raritan Valley Line,F2A537,14,7,59.0
3036,16,Raritan Valley Line,F2A537,10,2,55.0
3037,16,Raritan Valley Line,F2A537,11,2,57.0
3038,16,Raritan Valley Line,F2A537,12,2,79.0
3039,16,Raritan Valley Line,F2A537,13,2,82.0
3040,16,Raritan Valley Line,F2A537,13,2,81.0
3041,16,Raritan Valley Line,F2A537,13,2,62.0
3042,16,Raritan Valley Line,F2A537,14,2,63.0
3043,16,Raritan Valley Line,F2A537,14,2,61.0
3044,16,Raritan Valley Line,F2A537,14,2,60.0
3045,16,Raritan Valley Line,F2A537,14,2,61.0
3046,16,Raritan Valley Line,F2A537,14,2,62.0
3047,16,Raritan Valley Line,F2A537,14,2,60.0
3048,16,Raritan Valley Line,F2A537,14,2,60.0
3049,16,Raritan Valley Line,F2A537,15,2,82.0
3050,16,Raritan Valley Line,F2A537,16,2,83.0
3051,16,Raritan Valley Line,F2A537,16,2,81.0
3052,16,Raritan Valley Line,F2A537,16,2,82.0
3053,16,Raritan Valley Line,F2A537,16,2,85.0
3054,16,Raritan Valley Line,F2A537,16,2,80.0
3055,16,Raritan Valley Line,F2A537,16,2,83.0
3056,16,Raritan Valley Line,F2A537,18,2,89.0
3057,16,Raritan Valley Line,F2A537,19,2,90.0
3058,16,Raritan Valley Line,F2A537,21,2,110.0
3059,16,Raritan Valley Line,F2A537,21,2,111.0
3060,16,Raritan Valley Line,F2A537,8,2,36.0
3061,16,Raritan Valley Line,F2A537,16,5,82.0
3062,16,Raritan Valley Line,F2A537,16,5,85.0
3063,16,Raritan Valley Line,F2A537,14,7,61.0
3064,16,Raritan Valley Line,F2A537,14,7,66.0
3065,16,Raritan Valley Line,F2A537,13,4,58.0
3066,16,Raritan Valley Line,F2A537,14,13,63.0
3067,16,Raritan Valley Line,F2A537,19,13,93.0
3068,16,Raritan Valley Line,F2A537,14,3,66.0
3069,16,Raritan Valley Line,F2A537,14,1,64.0
3070,16,Raritan Valley Line,F2A537,14,1,64.0
3071,16,Raritan Valley Line,F2A537,14,1,64.0
3072,16,Raritan Valley Line,F2A537,14,1,64.0
3073,16,Raritan Valley Line,F2A537,14,1,64.0
3074,16,Raritan Valley Line,F2A537,14,1,64.0
3075,16,Raritan Valley Line,F2A537,14,1,64.0
3076,16,Raritan Valley Line,F2A537,14,1,64.0
3077,16,Raritan Valley Line,F2A537,14,1,64.0
3078,16,Raritan Valley Line,F2A537,14,1,64.0
3079,16,Raritan Valley Line,F2A537,14,1,64.0
3080,16,Raritan Valley Line,F2A537,14,1,64.0
3081,16,Raritan Valley Line,F2A537,14,1,64.0
3082,16,Raritan Valley Line,F2A537,14,1,64.0
3083,16,Raritan Valley Line,F2A537,14,1,64.0
3084,16,Raritan Valley Line,F2A537,14,1,64.0
3085,16,Raritan Valley Line,F2A537,14,1,64.0
3086,16,Raritan Valley Line,F2A537,13,15,80.0
3087,16,Raritan Valley Line,F2A537,14,15,63.0
3088,16,Raritan Valley Line,F2A537,13,2,79.0
3089,16,Raritan Valley Line,F2A537,13,2,57.0
3090,16,Raritan Valley Line,F2A537,13,2,62.0
3091,16,Raritan Valley Line,F2A537,14,2,58.0
3092,16,Raritan Valley Line,F2A537,14,2,68.0
3093,16,Raritan Valley Line,F2A537,14,2,65.0
3094,16,Raritan Valley Line,F2A537,14,2,61.0
3095,16,Raritan Valley Line,F2A537,14,2,61.0
3096,16,Raritan Valley Line,F2A537,14,2,59.0
3097,16,Raritan Valley Line,F2A537,16,2,86.0
3098,16,Raritan Valley Line,F2A537,16,2,85.0
3099,16,Raritan Valley Line,F2A537,16,2,85.0
3100,16,Raritan Valley Line,F2A537,16,2,80.0
3101,16,Raritan Valley Line,F2A537,19,2,91.0
3102,16,Raritan Valley Line,F2A537,19,2,96.0
3103,16,Raritan Valley Line,F2A537,19,2,96.0
3104,16,Raritan Valley Line,F2A537,19,2,92.0
3105,16,Raritan Valley Line,F2A537,20,2,111.0
3106,16,Raritan Valley Line,F2A537,21,2,109.0
3107,16,Raritan Valley Line,F2A537,21,2,109.0
3108,16,Raritan Valley Line,F2A537,21,2,109.0
3109,16,Raritan Valley Line,F2A537,16,5,76.0
3110,16,Raritan Valley Line,F2A537,16,5,76.0
3111,16,Raritan Valley Line,F2A537,16,11,76.0
