trip_id,route_id,route_long_name,route_color,stop_id,service_id,duration_minutes
1,1,Atlantic City Rail Line,075AAA,9,1,96.0
2,1,Atlantic City Rail Line,075AAA,9,1,97.0
3,1,Atlantic City Rail Line,075AAA,9,1,99.0
4,1,Atlantic City Rail Line,075AAA,9,1,100.0
5,1,Atlantic City Rail Line,075AAA,9,1,100.0
6,1,Atlantic City Rail Line,075AAA,9,1,101.0
7,1,Atlantic City Rail Line,075AAA,9,1,100.0
8,1,Atlantic City Rail Line,075AAA,9,1,100.0
9,1,Atlantic City Rail Line,075AAA,9,1,100.0
10,1,Atlantic City Rail Line,075AAA,9,1,101.0
11,1,Atlantic City Rail Line,075AAA,9,1,100.0
12,1,Atlantic City Rail Line,075AAA,9,1,96.0
13,1,Atlantic City Rail Line,075AAA,9,2,96.0
14,1,Atlantic City Rail Line,075AAA,9,2,97.0
15,1,Atlantic City Rail Line,075AAA,9,2,99.0
16,1,Atlantic City Rail Line,075AAA,9,2,100.0
17,1,Atlantic City Rail Line,075AAA,9,2,100.0
18,1,Atlantic City Rail Line,075AAA,9,2,99.0
19,1,Atlantic City Rail Line,075AAA,9,2,99.0
20,1,Atlantic City Rail Line,075AAA,9,2,100.0
21,1,Atlantic City Rail Line,075AAA,9,2,100.0
22,1,Atlantic City Rail Line,075AAA,9,2,100.0
23,1,Atlantic City Rail Line,075AAA,9,2,99.0
24,1,Atlantic City Rail Line,075AAA,9,2,96.0
25,1,Atlantic City Rail Line,075AAA,9,2,94.0
26,1,Atlantic City Rail Line,075AAA,9,3,94.0
27,1,Atlantic City Rail Line,075AAA,9,1,95.0
28,1,Atlantic City Rail Line,075AAA,9,1,94.0
29,1,Atlantic City Rail Line,075AAA,9,1,95.0
30,1,Atlantic City Rail Line,075AAA,9,1,95.0
31,1,Atlantic City Rail Line,075AAA,9,1,96.0
32,1,Atlantic City Rail Line,075AAA,9,1,95.0
33,1,Atlantic City Rail Line,075AAA,9,1,95.0
34,1,Atlantic City Rail Line,075AAA,9,1,95.0
35,1,Atlantic City Rail Line,075AAA,9,1,95.0
36,1,Atlantic City Rail Line,075AAA,9,1,95.0
37,1,Atlantic City Rail Line,075AAA,9,1,97.0
38,1,Atlantic City Rail Line,075AAA,9,2,95.0
39,1,Atlantic City Rail Line,075AAA,9,2,94.0
40,1,Atlantic City Rail Line,075AAA,9,2,95.0
41,1,Atlantic City Rail Line,075AAA,9,2,95.0
42,1,Atlantic City Rail Line,075AAA,9,2,94.0
43,1,Atlantic City Rail Line,075AAA,9,2,95.0
44,1,Atlantic City Rail Line,075AAA,9,2,95.0
45,1,Atlantic City Rail Line,075AAA,9,2,98.0
46,1,Atlantic City Rail Line,075AAA,9,2,94.0
47,1,Atlantic City Rail Line,075AAA,9,2,95.0
48,1,Atlantic City Rail Line,075AAA,9,2,97.0
