trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
950,08:42:00,08:42:00,37377,3,0,0,1.1756
950,08:44:00,08:44:00,37376,4,0,0,1.5225
950,08:46:00,08:46:00,36994,5,0,0,1.7716
950,08:48:00,08:48:00,36995,6,0,0,2.0661
950,08:50:00,08:50:00,36996,7,0,0,2.4739
950,08:51:00,08:51:00,36997,8,0,0,2.7513
950,08:54:00,08:54:00,36998,9,0,0,3.4326
950,08:57:00,08:57:00,37002,10,0,0,4.8544
950,08:58:00,08:58:00,37003,11,0,0,5.5023
950,09:00:00,09:00:00,37004,12,0,0,6.7125
950,09:02:00,09:02:00,37005,13,0,0,7.2748
950,09:04:00,09:04:00,38229,14,0,0,8.1350
950,09:07:00,09:07:00,42673,15,0,0,9.0369
951,08:39:00,08:39:00,39348,1,0,0,0.0000
951,08:42:00,08:42:00,37378,2,0,0,0.8826
951,08:44:00,08:44:00,37377,3,0,0,1.1756
951,08:46:00,08:46:00,37376,4,0,0,1.5225
951,08:48:00,08:48:00,36994,5,0,0,1.7716
951,08:50:00,08:50:00,36995,6,0,0,2.0661
951,08:52:00,08:52:00,36996,7,0,0,2.4739
951,08:53:00,08:53:00,36997,8,0,0,2.7513
951,08:56:00,08:56:00,36998,9,0,0,3.4326
951,08:59:00,08:59:00,37002,10,0,0,4.8544
951,09:00:00,09:00:00,37003,11,0,0,5.5023
951,09:02:00,09:02:00,37004,12,0,0,6.7125
951,09:04:00,09:04:00,37005,13,0,0,7.2748
951,09:06:00,09:06:00,38229,14,0,0,8.1350
951,09:09:00,09:09:00,42673,15,0,0,9.0369
952,08:50:00,08:50:00,39348,1,0,0,0.0000
952,08:53:00,08:53:00,37378,2,0,0,0.8826
952,08:55:00,08:55:00,37377,3,0,0,1.1756
952,08:57:00,08:57:00,37376,4,0,0,1.5225
952,08:59:00,08:59:00,36994,5,0,0,1.7716
952,09:01:00,09:01:00,36995,6,0,0,2.0661
952,09:03:00,09:03:00,36996,7,0,0,2.4739
952,09:04:00,09:04:00,36997,8,0,0,2.7513
952,09:07:00,09:07:00,36998,9,0,0,3.4326
952,09:10:00,09:10:00,37002,10,0,0,4.8544
952,09:11:00,09:11:00,37003,11,0,0,5.5023
